id,name,region
AL,Albanien,5
AD,Andorra,3
AM,Armenien,7
AZ,Aserbaidschan,7
AU,Australien,9
BY,Belarus,6
BE,Belgien,3
BA,Bosnien-Herzegowina,5
BG,Bulgarien,5
DK,Dänemark,1
DE,Deutschland,2
EE,Estland,2
FI,Finnland,1
FR,Frankreich,3
GE,Georgien,7
GR,Griechenland,5
GB,Großbritannien,3
IE,Irland,3
IS,Island,1
IL,Israel,8
IT,Italien,4
YU,Jugoslawien,5
HR,Kroatien,2
LV,Lettland,2
LT,Litauen,2
LU,Luxemburg,2
MT,Malta,4
MA,Marokko,10
MD,Moldau,5
MC,Monaco,3
ME,Montenegro,5
NL,Niederlande,3
MK,Nordmazedonien,5
NO,Norwegen,1
AT,Österreich,2
PL,Polen,2
PT,Portugal,4
RO,Rumänien,5
RU,Russland,6
SM,San Marino,4
SE,Schweden,1
CH,Schweiz,2
RS,Serbien,5
CS,Serbien-Montenegro,5
SK,Slowakei,2
SI,Slowenien,2
ES,Spanien,4
CZ,Tschechien,2
TR,Türkei,7
UA,Ukraine,6
HU,Ungarn,2
CY,Zypern,7